periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;SB11202430464295;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;111001016071;111001016071;11;11001;112896;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;OFICIAL;COLEGIO ISABEL II (IED);CENT EDUC DIST ISABEL II;S;3;B1;3;3;3;S;11;11001;11;11001;Más de 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;12/07/2006;M;11;0;68.174179;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;4;COLOMBIA;N;0;No;Todos o casi todos los días;1 o 2 veces por semana;3 a 5 veces por semana;Tres;Educación profesional completa;Educación profesional completa;Sin Estrato;26 A 100 LIBROS;3 a 4;Mejor;No;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);88;89;96;72;91;85;64;324;77;60;69;62
20242;SB11202430298420;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO;115180000013;115180000013;15;15180;5033;BOYACA;MIXTO;COMPLETA;CHISCAS;OFICIAL;I.E.T. AGROPECUARIO;I.E.T. AGROPECUARIO - SEDE PRINCIPAL;S;2;A2;3;3;3;S;15;15244;15;15180;Entre 1 y 3 horas;30 minutos o menos;BOYACA;BOYACA;N;11/11/2007;M;11;Entre 11 y 20 horas;59.927094;EL COCUY;CHISCAS;COLOMBIA;2;3;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;;Educación profesional completa;Primaria incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja por cuenta propia (por ejemplo plomero, electricista);58;68;76;69;61;76;52;283;60;59;56;58
20242;SB11202430202472;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;125293000449;125293000449;25;25293;735019;CUNDINAMARCA;MIXTO;UNICA;GACHALÁ;OFICIAL;INSTITUCION EDUCATIVA DEPARTAMENTAL BALDOMERO SANIN CANO;INSTITUCION EDUCATIVA DEPARTAMENTAL BALDOMERO SANIN  CANO;S;2;A-;2;3;2;S;25;25293;25;25293;Entre 30 y 60 minutos;30 minutos o menos;CUNDINAMARCA;CUNDINAMARCA;N;03/10/2008;F;11;0;32.559631;GACHALÁ;GACHALÁ;COLOMBIA;2;1;COLOMBIA;N;0;No;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;58;40;26;18;48;40;53;240;43;44;52;45
20242;SB11202430539608;ESTUDIANTE;TI;URBANO;;OTRO;;325175032505;325175032505;25;25175;199737;CUNDINAMARCA;MIXTO;MAÑANA;CHÍA;NO OFICIAL;COLEGIO GIMNASIO AMERICANO;COLEGIO GIMNASIO AMERICANO - SEDE PRINCIPAL;S;2;A2;3;3;3;S;25;25175;25;25175;Entre 1 y 3 horas;Entre 30 y 60 minutos;CUNDINAMARCA;CUNDINAMARCA;N;02/08/2006;M;26;0;69.710411;CHÍA;CHÍA;COLOMBIA;3;4;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Tres;Educación profesional completa;Educación profesional completa;Estrato 3;11 A 25 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);30;68;83;83;54;82;44;282;64;64;54;61
20242;SB11202430570800;ESTUDIANTE;PPT;URBANO;N;A;ACADÉMICO;120001068691;120001068691;20;20001;229807;CESAR;MIXTO;UNICA;VALLEDUPAR;OFICIAL;COLEGIO LEONIDAS ACUÑA;IE LEONIDAS ACUÑA;S;3;A1;3;3;2;S;20;20001;20;20001;;;CESAR;CESAR;N;12/05/2006;M;11;;;VALLEDUPAR;VALLEDUPAR;VENEZUELA;2;;COLOMBIA;N;0;;;;;;;;Estrato 2;;;;;;;;;;;;;;72;62;60;47;66;59;57;273;53;53;58;51
20242;SB11202430499413;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;105001000841;105001000841;5;5001;152579;ANTIOQUIA;FEMENINO;MAÑANA;MEDELLÍN;OFICIAL;INST EDUC JESUS MARIA - EL ROSAL;INST EDUC JESUS MARIA - EL ROSAL;S;2;A1;3;3;2;S;5;5001;5;5001;Entre 1 y 3 horas;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;16/01/2008;F;11;0;44.822426;MEDELLÍN;MEDELLÍN;COLOMBIA;3;2;COLOMBIA;N;0;No;Todos o casi todos los días;1 o 2 veces por semana;Nunca o rara vez comemos eso;Dos;Secundaria (Bachillerato) completa;No Aplica;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;Si;No;No;Es vendedor o trabaja en atención al público;No aplica;43;55;67;72;53;48;48;263;56;60;53;48
20242;SB11202430016071;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;111001098612;111001098612;11;11001;665620;BOGOTÁ;MIXTO;UNICA;BOGOTÁ D.C.;OFICIAL;COLEGIO LA ESTRELLITA (IED);COLEGIO LA ESTRELLITA (IED);S;2;A1;3;3;1;S;11;11001;11;11001;Entre 30 y 60 minutos;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;19/02/2008;M;11;0;56.761398;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;3;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 1;0 A 10 LIBROS;3 a 4;Igual;Si;Si;Si;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;No sabe;35;38;43;52;47;25;45;238;48;55;51;39
20242;SB11202430129547;ESTUDIANTE;TI;RURAL;;A;TÉCNICO/ACADÉMICO;215804000204;215804000204;15;15804;146464;BOYACA;MIXTO;COMPLETA;TIBANÁ;OFICIAL;IE SUPANECA;IE SUPANECA - SEDE PRINCIPAL;S;3;A1;3;3;3;S;15;15599;15;15367;Entre 1 y 3 horas;30 minutos o menos;BOYACA;BOYACA;N;04/05/2007;M;11;Menos de 10 horas;56.459759;RAMIRIQUÍ;JENESANO;COLOMBIA;2;3;COLOMBIA;N;0;Si, en efectivo;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Cuatro;Primaria completa;Primaria completa;Estrato 4;MÁS DE 100 LIBROS;5 a 6;Mejor;Si;No;No;Si;Si;Si;Si;Si;Trabaja en el hogar, no trabaja o estudia;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;77;78;53;83;81;71;59;300;51;64;64;56
20242;SB11202430372711;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;318753004548;318753004548;18;18753;753855;CAQUETA;MIXTO;SABATINA;SAN VICENTE DEL CAGUÁN;NO OFICIAL;IDEHA;IDEHA_SANVICENTE;N;1;A-;2;1;2;S;18;18753;18;18753;30 minutos o menos;30 minutos o menos;CAQUETA;CAQUETA;N;25/10/2007;M;26;Menos de 10 horas;50.200871;SAN VICENTE DEL CAGUÁN;SAN VICENTE DEL CAGUÁN;COLOMBIA;2;2;COLOMBIA;N;0;Si, en efectivo y especie;Todos o casi todos los días;3 a 5 veces por semana;3 a 5 veces por semana;Cuatro;Secundaria (Bachillerato) completa;Ninguno;Sin Estrato;11 A 25 LIBROS;1 a 2;Mejor;Si;No;No;Si;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Trabaja en el hogar, no trabaja o estudia;10;8;8;6;4;40;36;183;35;36;30;45
20242;SB11202430300647;ESTUDIANTE;TI;RURAL;N;A;ACADÉMICO;305001000115;305001000115;5;5607;152058;ANTIOQUIA;MIXTO;COMPLETA;RETIRO;NO OFICIAL;COLEGIO SAN JOSE DE LAS VEGAS;COLEGIO SAN JOSE DE LAS VEGAS;S;2;B1;3;3;1;S;5;5001;5;5001;Más de 3 horas;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;04/11/2006;M;11;;68.004669;MEDELLÍN;MEDELLÍN;COLOMBIA;4;4;COLOMBIA;N;0;;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;;Educación profesional completa;Primaria completa;Estrato 5;26 A 100 LIBROS;;;;;;;Si;;;Si;;;59;59;95;64;71;18;53;269;75;58;60;37
