periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;SB11202430394567;ESTUDIANTE;TI;URBANO;;A;;150568001437;150568001437;50;50568;668871;META;MIXTO;MAÑANA;PUERTO GAITÁN;OFICIAL;INSTITUCION EDUCATIV LUIS CARLOS GALAN SARMIENTO;SEDE PRINCIPAL LUIS CARLOS GALAN SARMIENTO;S;3;A1;3;3;3;S;50;50568;50;50568;Entre 30 y 60 minutos;Entre 30 y 60 minutos;META;META;N;14/03/2008;F;11;Menos de 10 horas;52.772011;PUERTO GAITÁN;PUERTO GAITÁN;COLOMBIA;2;3;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Tres;Técnica o tecnológica completa;Técnica o tecnológica completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;Si;No;No;No;Si;Si;Si;Si;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;70;73;47;70;70;81;57;291;49;60;59;60
20242;SB11202430611952;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;305001017361;305001017361;5;5001;662114;ANTIOQUIA;MIXTO;SABATINA;MEDELLÍN;NO OFICIAL;CENT DE DESARROLLO INTEGRADO - CENDI;CENT DE DESARROLLO INTEGRADO - CENDI;S;1;A-;3;1;1;S;5;5042;5;5042;30 minutos o menos;Entre 1 y 2 horas;ANTIOQUIA;ANTIOQUIA;N;12/01/2004;F;26;Menos de 10 horas;46.632553;SANTA FÉ DE ANTIOQUIA;SANTA FÉ DE ANTIOQUIA;COLOMBIA;2;2;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Técnica o tecnológica incompleta;Secundaria (Bachillerato) completa;Estrato 1;0 A 10 LIBROS;3 a 4;Mejor;No;No;No;No;No;No;No;Si;Es operario de máquinas o conduce vehículos (taxita, chofer);Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;4;12;13;38;9;16;33;193;38;51;35;36
20242;SB11202430007910;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;111001094889;111001094889;11;11001;155267;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;OFICIAL;COLEGIO LA TOSCANA - LISBOA (IED);CENT EDUC DIST LA TOSCANA;S;3;B1;3;2;2;S;11;11001;11;11001;Entre 1 y 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;17/05/2008;F;11;0;50.798485;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;2;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Secundaria (Bachillerato) incompleta;No sabe;Estrato 2;11 A 25 LIBROS;3 a 4;Igual;No;Si;No;Si;Si;Si;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;71;62;91;54;37;60;57;272;71;55;48;52
20242;SB11202430611950;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;305001017361;305001017361;5;5001;662114;ANTIOQUIA;MIXTO;SABATINA;MEDELLÍN;NO OFICIAL;CENT DE DESARROLLO INTEGRADO - CENDI;CENT DE DESARROLLO INTEGRADO - CENDI;S;1;A-;1;1;1;S;5;5001;5;5001;Más de 3 horas;30 minutos o menos;ANTIOQUIA;ANTIOQUIA;N;05/03/2002;F;26;0;60.800716;MEDELLÍN;MEDELLÍN;COLOMBIA;2;3;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Dos;;Ninguno;;11 A 25 LIBROS;1 a 2;Igual;Si;Si;No;Si;Si;Si;Si;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;8;1;1;1;1;6;36;145;27;27;23;31
20242;SB11202430181670;ESTUDIANTE;PPT;URBANO;N;A;ACADÉMICO;111001013811;111001013811;11;11001;109520;BOGOTÁ;MIXTO;TARDE;BOGOTÁ D.C.;OFICIAL;COLEGIO SAN AGUSTIN (IED);CENT EDUC DIST SAN AGUSTIN;S;2;A-;3;3;3;S;11;11001;11;11001;No Navega Internet;Más de 2 horas;BOGOTÁ;BOGOTÁ;N;05/06/2006;F;11;0;44.171436;BOGOTÁ D.C.;BOGOTÁ D.C.;VENEZUELA;2;2;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 2;0 A 10 LIBROS;3 a 4;Igual;No;No;No;Si;No;No;No;No;Es vendedor o trabaja en atención al público;Trabaja por cuenta propia (por ejemplo plomero, electricista);37;72;33;85;77;87;46;290;45;65;62;63
20242;SB11202430259319;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;195001002011;195001002011;95;95001;34165;GUAVIARE;MIXTO;MAÑANA;SAN JOSÉ DEL GUAVIARE;OFICIAL;I.E. CONCENTRACIÓN DESARROLLO RURAL;I.E. CONCENTRACIÓN DESARROLLO RURAL- SEDE PRINCIPAL;S;2;A1;3;3;2;S;95;95001;95;95001;Entre 1 y 3 horas;30 minutos o menos;GUAVIARE;GUAVIARE;N;11/05/2007;F;11;0;45.441059;SAN JOSÉ DEL GUAVIARE;SAN JOSÉ DEL GUAVIARE;COLOMBIA;2;2;COLOMBIA;N;0;Si, en especie;3 a 5 veces por semana;3 a 5 veces por semana;3 a 5 veces por semana;;Secundaria (Bachillerato) incompleta;Primaria incompleta;Estrato 2;11 A 25 LIBROS;3 a 4;;;;;;No;;;Si;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es agricultor, pesquero o jornalero;65;64;44;79;51;61;55;276;48;63;53;52
20242;SB11202430222260;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;305001004528;305001004528;5;5001;66498;ANTIOQUIA;MIXTO;MAÑANA;MEDELLÍN;NO OFICIAL;COL MARIA REINA DEL CARMELO;COL MARIA REINA DEL CARMELO;S;2;A-;2;2;1;S;5;5001;5;5001;Entre 30 y 60 minutos;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;08/07/2007;F;11;Menos de 10 horas;49.883148;MEDELLÍN;MEDELLÍN;COLOMBIA;3;2;COLOMBIA;N;0;No;3 a 5 veces por semana;3 a 5 veces por semana;Todos o casi todos los días;Tres;Técnica o tecnológica incompleta;Secundaria (Bachillerato) incompleta;Estrato 3;0 A 10 LIBROS;5 a 6;Igual;No;No;No;Si;Si;Si;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;20;14;13;11;14;26;41;198;38;40;38;40
20242;SB11202430403372;ESTUDIANTE;TI;RURAL;N;A;TÉCNICO/ACADÉMICO;215238000927;215238000927;15;15238;736009;BOYACA;MIXTO;UNICA;DUITAMA;OFICIAL;INSTITUTO TECNICO JOSE MIGUEL SILVA PLAZAS;INSTITUTO TÉCNICO JOSÉ MIGUEL SILVA PLAZAS;S;2;A1;3;3;2;S;15;15238;15;15238;Entre 30 y 60 minutos;Entre 30 y 60 minutos;BOYACA;BOYACA;N;09/04/2007;M;11;Menos de 10 horas;34.986702;DUITAMA;DUITAMA;COLOMBIA;2;1;COLOMBIA;N;0;Si, en efectivo y especie;Nunca o rara vez comemos eso;1 o 2 veces por semana;Nunca o rara vez comemos eso;Tres;Secundaria (Bachillerato) completa;Primaria completa;Estrato 1;11 A 25 LIBROS;5 a 6;Peor;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;43;67;49;74;80;69;48;281;49;61;63;55
20242;SB11202430100704;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;147268002040;147268002040;47;47268;750653;MAGDALENA;MIXTO;UNICA;EL RETÉN;OFICIAL;INSTITUCION EDUCATIVA DEPARTAMENTAL EUCLIDES LIZARAZO;COL DPTAL EUCLIDES LIZARAZO;S;1;A-;2;1;1;S;47;47288;47;47268;Entre 1 y 3 horas;30 minutos o menos;MAGDALENA;MAGDALENA;N;22/03/2007;M;11;0;39.771416;FUNDACIÓN;EL RETÉN;COLOMBIA;2;1;COLOMBIA;N;0;No;Todos o casi todos los días;Nunca o rara vez comemos eso;1 o 2 veces por semana;Uno;Secundaria (Bachillerato) incompleta;Primaria incompleta;Sin Estrato;11 A 25 LIBROS;7 a 8;Mejor;No;No;No;No;No;No;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);11;9;5;16;10;14;37;185;31;43;35;35
20242;SB11202430511772;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;150001003081;150001003081;50;50001;61077;META;MIXTO;TARDE;VILLAVICENCIO;OFICIAL;INSTITUCIÓN EDUCATIVA JUAN PABLO II;INSTITUCIÓN EDUCATIVA JUAN PABLO II;S;3;B1;3;3;3;S;50;50001;50;50001;Entre 1 y 3 horas;No leo por entretenimiento;META;META;N;15/04/2007;F;11;0;63.302769;VILLAVICENCIO;VILLAVICENCIO;COLOMBIA;3;3;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Tres;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) completa;Estrato 3;26 A 100 LIBROS;3 a 4;Mejor;Si;Si;No;Si;Si;Si;No;Si;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;87;86;93;67;93;76;63;316;72;59;70;58
