periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;SB11202430611647;ESTUDIANTE;TI;URBANO;;A;;308758800134;308758800134;8;8758;717991;ATLANTICO;MIXTO;NOCHE;SOLEDAD;NO OFICIAL;INSTITUCIÓN EDUCATIVA PARA ADULTOS NUEVO HORIZONTE ;INSTITUCIÓN EDUCATIVA PARA ADULTOS NUEVO HORIZONTE  - SEDE PRINCIPAL;S;2;A1;2;3;2;S;8;8758;8;8758;Entre 30 y 60 minutos;30 minutos o menos;ATLANTICO;ATLANTICO;N;02/12/2007;M;26;0;53.325031;SOLEDAD;SOLEDAD;COLOMBIA;2;3;COLOMBIA;N;0;No;Todos o casi todos los días;1 o 2 veces por semana;1 o 2 veces por semana;Dos;No Aplica;Educación profesional incompleta;Estrato 1;0 A 10 LIBROS;1 a 2;Igual;No;Si;No;No;Si;Si;No;No;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);58;43;55;17;49;45;53;245;51;44;52;46
20242;SB11202430528341;ESTUDIANTE;CC;URBANO;;A;;315001800169;315001800169;15;15001;809699;BOYACA;MIXTO;SABATINA;TUNJA;NO OFICIAL;COLEGIO INTEGRADO BOSTON;COLEGIO INTEGRADO BOSTON - SEDE PRINCIPAL;S;1;A-;2;2;1;S;15;15001;15;15476;;;BOYACA;BOYACA;N;13/06/2004;F;26;;;TUNJA;MOTAVITA;COLOMBIA;3;;COLOMBIA;N;0;;;;;;;;Estrato 2;;;;;;;;;;;;;;3;10;11;20;19;9;33;188;37;45;41;32
20242;SB11202430006741;ESTUDIANTE;TI;URBANO;;A;ACADÉMICO;111850001380;111850001380;11;11001;734129;BOGOTÁ;MIXTO;UNICA;BOGOTÁ D.C.;OFICIAL;COLEGIO EL CORTIJO - VIANEY (IED);CENT EDUC DIST EL CORTIJO;S;2;A-;2;2;2;S;11;11001;11;11001;Entre 30 y 60 minutos;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;29/06/2007;F;11;0;49.132866;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;2;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Estrato 3;11 A 25 LIBROS;5 a 6;Igual;No;No;No;Si;Si;No;No;Si;Trabaja en el hogar, no trabaja o estudia;No sabe;39;33;4;19;44;49;47;230;31;44;50;48
20242;SB11202430198922;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO;120001066787;120001066787;20;20001;51623;CESAR;MIXTO;MAÑANA;VALLEDUPAR;OFICIAL;INSTITUCION EDUCATIVA RAFAEL VALLE MEZA;INST.EDUCATIVA  RAFAEL VALLE MEZA;S;2;A2;3;3;3;S;20;20001;20;20001;30 minutos o menos;Entre 1 y 2 horas;CESAR;CESAR;N;24/07/2006;M;11;Menos de 10 horas;25.630018;VALLEDUPAR;VALLEDUPAR;COLOMBIA;2;1;COLOMBIA;N;0;Si, en especie;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Dos;Ninguno;Ninguno;Estrato 1;0 A 10 LIBROS;9 o más;Peor;No;No;No;No;No;No;No;No;Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente);Trabaja en el hogar, no trabaja o estudia;63;70;77;60;68;74;54;285;60;57;59;57
20242;SB11202430179495;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;205138000622;205138000622;5;5138;132902;ANTIOQUIA;MIXTO;COMPLETA;CAÑASGORDAS;OFICIAL;I. E. R. JUNTAS DE URAMITA;COLEGIO JUNTAS DE URAMITA;S;1;A-;1;2;1;S;5;5138;5;5138;Más de 3 horas;Entre 30 y 60 minutos;ANTIOQUIA;ANTIOQUIA;N;03/12/2007;F;11;0;34.443443;CAÑASGORDAS;CAÑASGORDAS;COLOMBIA;2;1;COLOMBIA;N;0;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;Nunca o rara vez comemos eso;Cuatro;Primaria incompleta;Primaria incompleta;Estrato 2;0 A 10 LIBROS;3 a 4;Peor;No;No;No;No;No;Si;No;Si;Es agricultor, pesquero o jornalero;Es agricultor, pesquero o jornalero;14;3;4;2;13;2;38;166;30;32;37;27
20242;SB11202430161767;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;125269000055;125269000055;25;25269;104133;CUNDINAMARCA;MIXTO;TARDE;FACATATIVÁ;OFICIAL;INSTITUCION EDUCATIVA MUNICIPAL JOHN FITZGERALD KENNEDY;I.E.M JOHN FITZGERALD KENNEDY - SEDE PRINCIPAL;S;2;A-;2;2;1;S;25;25269;25;25269;Más de 3 horas;30 minutos o menos;CUNDINAMARCA;CUNDINAMARCA;N;13/10/2006;F;11;Menos de 10 horas;35.17696;FACATATIVÁ;FACATATIVÁ;COLOMBIA;3;1;COLOMBIA;N;0;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;Nunca o rara vez comemos eso;Tres;Primaria incompleta;Primaria incompleta;Estrato 3;0 A 10 LIBROS;3 a 4;Igual;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;26;19;32;34;20;8;42;208;45;50;41;32
20242;SB11202430509581;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;154498000042;154498000042;54;54498;737262;NORTE SANTANDER;MIXTO;UNICA;OCAÑA;OFICIAL;INST TECNICO INDUSTRIAL LUCIO PABON NUÑEZ;INST TECNICO INDUSTRIAL LUCIO PABON NUÑEZ;S;2;A-;3;3;3;S;54;54498;54;54498;No Navega Internet;Entre 30 y 60 minutos;NORTE SANTANDER;NORTE SANTANDER;N;22/01/2006;M;11;Entre 11 y 20 horas;28.410381;OCAÑA;OCAÑA;COLOMBIA;2;1;COLOMBIA;N;0;Si, en especie;1 o 2 veces por semana;Nunca o rara vez comemos eso;3 a 5 veces por semana;Dos;Primaria incompleta;Ninguno;Estrato 1;0 A 10 LIBROS;7 a 8;Igual;No;No;No;No;No;No;No;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;54;65;17;81;59;73;51;277;40;64;55;57
20242;SB11202430197690;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;311848002866;311848002866;11;11001;28449;BOGOTÁ;MIXTO;COMPLETA;BOGOTÁ D.C.;NO OFICIAL;COL MAYOR JOSE CELESTINO MUTIS;COL MAYOR JOSE CELESTINO MUTIS;S;2;B1;4;2;3;S;11;11001;11;11001;Entre 1 y 3 horas;30 minutos o menos;BOGOTÁ;BOGOTÁ;N;06/01/2008;M;11;0;64.563179;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;4;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Seis o mas;Educación profesional incompleta;Educación profesional completa;Estrato 3;MÁS DE 100 LIBROS;5 a 6;Peor;Si;Si;No;No;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Trabaja como profesional (por ejemplo médico, abogado, ingeniero);63;72;94;95;21;80;54;288;74;70;41;60
20242;SB11202430297813;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;368001000699;368001000699;68;68001;14134;SANTANDER;FEMENINO;COMPLETA;BUCARAMANGA;NO OFICIAL;COL  LA MERCED                                                                                      ;COL  LA MERCED                                                                                      ;S;4;B+;4;4;4;S;68;68001;68;68001;Más de 3 horas;Entre 30 y 60 minutos;SANTANDER;SANTANDER;N;05/09/2007;F;11;0;73.145424;BUCARAMANGA;BUCARAMANGA;COLOMBIA;4;4;COLOMBIA;N;0;No;Todos o casi todos los días;3 a 5 veces por semana;Todos o casi todos los días;Tres;Educación profesional completa;Educación profesional completa;Estrato 5;26 A 100 LIBROS;5 a 6;Mejor;Si;Si;No;Si;Si;Si;No;Si;Trabaja como profesional (por ejemplo médico, abogado, ingeniero);Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;99;99;99;96;97;100;75;375;83;71;74;77
20242;SB11202430083061;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;363001001821;363001001821;63;63001;103762;QUINDIO;MIXTO;COMPLETA;ARMENIA;NO OFICIAL;COLEGIO CAMPESTRE DE ARMENIA S.A.S.;COLEGIO CAMPESTRE DE ARMENIA S.A.S;S;2;A1;3;3;2;N;63;63001;63;63001;Más de 3 horas;30 minutos o menos;QUINDIO;QUINDIO;S;22/01/2008;F;11;0;66.964096;ARMENIA;ARMENIA;COLOMBIA;4;4;COLOMBIA;N;0;No;Todos o casi todos los días;Todos o casi todos los días;Todos o casi todos los días;Dos;Postgrado;Educación profesional incompleta;Estrato 5;0 A 10 LIBROS;3 a 4;Mejor;Si;Si;No;No;Si;Si;No;Si;Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial;Trabaja por cuenta propia (por ejemplo plomero, electricista);60;46;56;37;53;34;53;250;52;51;53;42
