periodo;estu_consecutivo;estu_estudiante;estu_tipodocumento;cole_area_ubicacion;cole_bilingue;cole_calendario;cole_caracter;cole_cod_dane_establecimiento;cole_cod_dane_sede;cole_cod_depto_ubicacion;cole_cod_mcpio_ubicacion;cole_codigo_icfes;cole_depto_ubicacion;cole_genero;cole_jornada;cole_mcpio_ubicacion;cole_naturaleza;cole_nombre_establecimiento;cole_nombre_sede;cole_sede_principal;desemp_c_naturales;desemp_ingles;desemp_lectura_critica;desemp_matematicas;desemp_sociales_ciudadanas;estu_agregado;estu_cod_depto_presentacion;estu_cod_mcpio_presentacion;estu_cod_reside_depto;estu_cod_reside_mcpio;estu_dedicacioninternet;estu_dedicacionlecturadiaria;estu_depto_presentacion;estu_depto_reside;estu_discapacidad;estu_fechanacimiento;estu_genero;estu_grado;estu_horassemanatrabaja;estu_inse_individual;estu_mcpio_presentacion;estu_mcpio_reside;estu_nacionalidad;estu_nse_establecimiento;estu_nse_individual;estu_pais_reside;estu_privado_libertad;estu_repite;estu_tiporemuneracion;fami_comecarnepescadohuevo;fami_comecerealfrutoslegumbre;fami_comelechederivados;fami_cuartoshogar;fami_educacionmadre;fami_educacionpadre;fami_estratovivienda;fami_numlibros;fami_personashogar;fami_situacioneconomica;fami_tieneautomovil;fami_tienecomputador;fami_tieneconsolavideojuegos;fami_tienehornomicroogas;fami_tieneinternet;fami_tienelavadora;fami_tienemotocicleta;fami_tieneserviciotv;fami_trabajolabormadre;fami_trabajolaborpadre;percentil_c_naturales;percentil_global;percentil_ingles;percentil_lectura_critica;percentil_matematicas;percentil_sociales_ciudadanas;punt_c_naturales;punt_global;punt_ingles;punt_lectura_critica;punt_matematicas;punt_sociales_ciudadanas
20242;SB11202430226496;ESTUDIANTE;CC;URBANO;N;A;TÉCNICO/ACADÉMICO;105266000061;105266000061;5;5266;169896;ANTIOQUIA;MIXTO;SABATINA;ENVIGADO;OFICIAL;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;INSTITUCION EDUCATIVA MANUEL URIBE ANGEL;S;1;A-;2;2;2;S;5;5266;5;5266;;;ANTIOQUIA;ANTIOQUIA;N;15/08/1971;F;26;Menos de 10 horas;;ENVIGADO;ENVIGADO;COLOMBIA;3;;COLOMBIA;N;0;Si, en efectivo;;;;Dos;;;Estrato 3;;1 a 2;Igual;No;Si;No;No;;Si;No;;No aplica;No aplica;18;28;32;24;28;43;40;223;45;47;45;46
20242;SB11202430500431;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;111001002330;111001002330;11;11001;98624;BOGOTÁ;MIXTO;MAÑANA;BOGOTÁ D.C.;OFICIAL;COLEGIO LA GAITANA (IED);CENT EDUC DIST LA GAITANA;S;2;A2;3;3;3;S;11;11001;11;11001;Más de 3 horas;Entre 30 y 60 minutos;BOGOTÁ;BOGOTÁ;N;17/02/2006;F;11;0;40.913948;BOGOTÁ D.C.;BOGOTÁ D.C.;COLOMBIA;3;1;COLOMBIA;N;0;No;1 o 2 veces por semana;Nunca o rara vez comemos eso;1 o 2 veces por semana;Dos;Técnica o tecnológica completa;Primaria incompleta;Estrato 1;26 A 100 LIBROS;7 a 8;Igual;No;No;No;No;No;No;No;Si;Trabaja en el hogar, no trabaja o estudia;Trabaja por cuenta propia (por ejemplo plomero, electricista);60;69;74;72;61;77;53;285;59;60;56;58
20242;SB11202430368331;ESTUDIANTE;CC;URBANO;;A;ACADÉMICO;123807000581;123807000581;23;23807;233940;CORDOBA;MIXTO;TARDE;TIERRALTA;OFICIAL;INSTITUCION EDUCATIVA LA INMACULADA;IE LA INMACULADA;S;2;A2;3;3;3;S;23;23807;23;23807;;;CORDOBA;CORDOBA;N;28/12/2005;M;11;0;;TIERRALTA;TIERRALTA;COLOMBIA;2;;COLOMBIA;N;0;No;;;;Tres;;;Estrato 1;;3 a 4;Igual;No;No;No;Si;;Si;No;;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc;44;66;87;63;61;75;48;280;67;58;56;58
20242;SB11202430295369;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;241668000131;241668000182;41;41668;442848;HUILA;MIXTO;COMPLETA;SAN AGUSTÍN;OFICIAL;INSTITUCION EDUCATIVA PUERTO QUINCHANA;VILLA FATIMA;N;3;A1;3;3;3;S;41;41668;41;41668;;;HUILA;HUILA;N;04/08/2007;F;11;;;SAN AGUSTÍN;SAN AGUSTÍN;COLOMBIA;2;;COLOMBIA;N;0;;;;;;;;Estrato 1;;;;;;;;;;;;;;68;69;47;61;62;82;56;284;49;57;56;61
20242;SB11202430330445;ESTUDIANTE;TI;RURAL;;A;TÉCNICO/ACADÉMICO;205837000042;205837000042;5;5837;307082;ANTIOQUIA;MIXTO;MAÑANA;TURBO;OFICIAL;I.E. SAN JOSE DE MULATOS;I.E. SAN JOSE DE MULATOS;S;2;A-;3;2;2;S;5;5665;5;5837;Entre 1 y 3 horas;No leo por entretenimiento;ANTIOQUIA;ANTIOQUIA;N;21/04/2008;F;11;Menos de 10 horas;31.216959;SAN PEDRO DE URABÁ;TURBO;COLOMBIA;1;1;COLOMBIA;N;0;No;1 o 2 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Uno;Primaria incompleta;Primaria incompleta;Sin Estrato;0 A 10 LIBROS;1 a 2;Igual;No;No;No;No;No;No;Si;No;Trabaja en el hogar, no trabaja o estudia;Es agricultor, pesquero o jornalero;53;47;15;58;31;58;51;251;40;56;46;51
20242;SB11202430611528;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;105001026000;105001026000;5;5001;663294;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;OFICIAL;INST EDUC CIUDADELA NUEVO OCCIDENTE;INST EDUC CIUDADELA NUEVO OCCIDENTE;S;2;A1;2;2;1;S;5;5001;5;5001;No Navega Internet;Entre 30 y 60 minutos;ANTIOQUIA;ANTIOQUIA;N;20/02/2004;M;26;Menos de 10 horas;40.179665;MEDELLÍN;MEDELLÍN;COLOMBIA;2;1;COLOMBIA;N;0;Si, en efectivo;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Tres;Primaria completa;Primaria incompleta;Estrato 2;0 A 10 LIBROS;7 a 8;Igual;No;Si;No;No;No;No;No;No;No aplica;Trabaja por cuenta propia (por ejemplo plomero, electricista);28;22;55;14;29;22;43;213;51;42;45;38
20242;SB11202430611527;ESTUDIANTE;TI;URBANO;N;A;ACADÉMICO;105001026000;105001026000;5;5001;663294;ANTIOQUIA;MIXTO;NOCHE;MEDELLÍN;OFICIAL;INST EDUC CIUDADELA NUEVO OCCIDENTE;INST EDUC CIUDADELA NUEVO OCCIDENTE;S;2;A1;3;2;1;S;5;5001;5;5001;;;ANTIOQUIA;ANTIOQUIA;N;27/02/2006;M;26;0;;MEDELLÍN;MEDELLÍN;COLOMBIA;2;;COLOMBIA;N;0;Si, en especie;;;;Dos;;;;;5 a 6;Mejor;No;Si;Si;Si;;Si;No;;No aplica;No aplica;33;28;55;55;18;17;45;223;51;55;40;36
20242;SB11202430352505;ESTUDIANTE;TI;RURAL;;A;ACADÉMICO;270429000146;270429000146;70;70429;148056;SUCRE;MIXTO;TARDE;MAJAGUAL;OFICIAL;INST EDUC LOS PATOS;INSTITUCION EDUCATIVA LOS PATOS;S;1;A-;2;1;1;S;70;70429;70;70429;No Navega Internet;No leo por entretenimiento;SUCRE;SUCRE;N;19/10/2006;M;11;0;36.215717;MAJAGUAL;MAJAGUAL;COLOMBIA;1;1;COLOMBIA;N;0;No;3 a 5 veces por semana;1 o 2 veces por semana;1 o 2 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 1;;1 a 2;Igual;No;No;No;No;No;Si;Si;Si;Es agricultor, pesquero o jornalero;Trabaja en el hogar, no trabaja o estudia;6;3;4;14;5;1;34;165;30;42;31;26
20242;SB11202430250012;ESTUDIANTE;TI;URBANO;N;A;TÉCNICO/ACADÉMICO;115599000013;115599000013;15;15599;5413;BOYACA;MIXTO;COMPLETA;RAMIRIQUÍ;OFICIAL;I.E. TECNICA JOSE IGNACIO DE MARQUEZ;I.E. TECNICA JOSE IGNACIO DE MARQUEZ - SEDE PRINCIPAL;S;2;A-;3;2;2;S;15;15599;15;15599;30 minutos o menos;No leo por entretenimiento;BOYACA;BOYACA;N;02/05/2007;F;11;Menos de 10 horas;43.264366;RAMIRIQUÍ;RAMIRIQUÍ;COLOMBIA;2;2;COLOMBIA;N;0;Si, en efectivo;1 o 2 veces por semana;3 a 5 veces por semana;1 o 2 veces por semana;Cuatro;Primaria completa;Primaria incompleta;Estrato 2;11 A 25 LIBROS;5 a 6;Mejor;No;Si;No;Si;No;Si;Si;No;Trabaja en el hogar, no trabaja o estudia;Trabaja en el hogar, no trabaja o estudia;23;36;15;44;41;47;41;235;40;53;49;47
20242;SB11202430563196;ESTUDIANTE;CC;URBANO;N;A;ACADÉMICO;366001006741;366001006741;66;66001;103770;RISARALDA;MIXTO;MAÑANA;PEREIRA;NO OFICIAL;COL ANGLO COLOMBIANO;COL ANGLO COLOMBIANO - SEDE PRINCIPAL;S;1;A-;2;1;2;S;66;66001;66;66001;;No leo por entretenimiento;RISARALDA;RISARALDA;N;02/01/1996;F;26;Menos de 10 horas;42.589626;PEREIRA;PEREIRA;COLOMBIA;3;2;COLOMBIA;N;0;Si, en efectivo;1 o 2 veces por semana;1 o 2 veces por semana;3 a 5 veces por semana;Dos;Primaria incompleta;Primaria incompleta;Estrato 2;;1 a 2;Igual;Si;No;No;No;No;Si;Si;No;Trabaja como personal de limpieza, mantenimiento, seguridad o construcción;Es vendedor o trabaja en atención al público;19;7;11;11;1;32;40;180;37;40;22;42
